title,url,author,date,summary
"'Snowflakes, Uzbekistan's future Olympic stars "," http://english.people.com.cn
/90777/8065708.html ",,2012-12-20 17:06:41 UTC,"Tashkent, Dec. 19 (People’s Daily Online) –Snowflakes are whirling outside, and “Snowflakes” of gymnastics are dancing with rhythmic music and competing for the prizes in a children’s sports center, Uzbekistan’s capital Tashkent, on Wednesday. 
 
 The fairylike young competitors are from Tashkent sports clubs and local primary schools. They are dancing with ropes, rings, stick and balls. Audiences and judges are fascinated by their prefect performance. 
 
 “Snowflakes” Gymnastics ..."
Turkey strongly condemns Israeli move to expand settlements," http://english.people.com.cn
/90777/8065657.html ",,2012-12-20 16:56:23 UTC,"ANKARA, Dec. 19 (Xinhua) -- Turkey said Wednesday Israel's new announcements of settlement construction is provocative despite international warnings, a Turkish official statement said.
 
 ""We strongly condemn Israel, which undermines international law with its illegal settlement activities that deliberately destroy grounds for enduring and fair peace,"" said the statement released by the Turkish foreign ministry.
 
 ""Israel must understand that it won't achieve its goals of changing the historic ..."
Obama announces gun control task force headed by VP Biden," http://english.people.com.cn
/90777/8065630.html ",,2012-12-20 16:26:34 UTC,"WASHINGTON, Dec. 19 (Xinhua) -- U.S. President Barack Obama on Wednesday announced a gun control task force led by Vice President Joe Biden. The inter-agency task force is charged with guiding the administration's continuing response to calls of gun control after the Newtown, Connecticut, massacre.
 
 Obama made the announcement at the White House briefing room with Biden standing at his side. He said although conversation about stopping future shooting incidents has to continue, ""words need to  ..."
Expo 2017 to bring Kazakhstan under global spotlight: Kazakh FM," http://english.people.com.cn
/90777/8065488.html ",,2012-12-20 15:47:34 UTC,"In November, 2012 Astana, capital of Kazakhstan was selected to host the International Expo in 2017 . It will be Kazakhstan's first world's fair as well as the first in Central Asia. The celebration of the Expo 2017 will highlight the awareness of the central Asia as well as promote the economic development of Kazakhstan and the region. It will have a long time economic effect, said the Foreign Minister of Kazakhstan Erlan Idrisov in an interview with reporter from People’s Daily Online.
 
 &$ ..."
1," http://english.people.com.cn
/90777/8065032.html ",,,"&$
 <center><a href=""/cms/template/NewsView.jsp?id=8065015"" class=""abl2"">【1】 </a><a href=""/cms/template/NewsView.jsp?id=8065030"" class=""abl2"">【2】 </a><a href=""/cms/template/NewsView.jsp?id=8065031"" class=""abl2"">【3】 </a><a href=""/cms/template/NewsView.jsp?id=8065032"" class=""abl2"">【4】 </a></center>&$&$
 <center><table border=""0"" align=""center"" width=""40%"">  <tr><td width=""50%"" align=""center""><a href=""/cms/template/NewsView.jsp?id=8065031""><img src=""/img/2007english/Previous.jpg ..."
Japan's DPJ delays leadership election after fiasco ," http://english.people.com.cn
/90777/8065031.html ",,2012-12-20 16:19:49 UTC,"
 &$<b>Related Reading:</b>&$
 
 &$<a href='http://english.people.com.cn/90777/8060445.html' target='_blank'><b><font color='#0000ff'>Noda quits from DPJ's presidency</font></b></a>&$
 
 &$<a href='http://english.people.com.cn/90777/8060445.html' target='_blank'>TOKYO, Dec. 16 (Xinhua) -- Leader of Japan's Democratical Party of Japan (DPJ), Yoshihiko Noda, said on late Sunday that he quits from the party's presidency.
 
 Noda made the remark during a press conference after his party suffered a b ..."
Obama announces gun control task force headed by VP Biden ," http://english.people.com.cn
/90777/8065030.html ",,2012-12-20 16:26:42 UTC,"&$<b>Related Reading:</b>&$
 
 &$<a href='http://english.people.com.cn/90777/8065630.html' target='_blank'><b><font color='#0000ff'>Obama announces gun control task force headed by VP Biden</font></b></a>&$
 
 &$<a href='http://english.people.com.cn/90777/8065630.html' target='_blank'>WASHINGTON, Dec. 19 (Xinhua) -- U.S. President Barack Obama on Wednesday announced a gun control task force led by Vice President Joe Biden. The inter-agency task force is charged with guiding the administration's  ..."
Park Geun-hye elected first female president of S. Korea ," http://english.people.com.cn
/90777/8065015.html ",,2012-12-20 09:45:20 UTC,"&$<b>Related reading:</b>&$
 
 &$<a href='http://english.people.com.cn/90777/8064563.html' target='_blank'><b><font color='#0000ff'>Conservative Park Geun-hye elected first female president of S. Korea</font></b></a>&$
 
 &$<a href='http://english.people.com.cn/90777/8064563.html' target='_blank'>SEOUL, Dec. 19 (Xinhua) -- Park Geun-hye of South Korea's ruling Saenuri Party won the tightly contested presidential election held Wednesday, becoming the first woman to lead the country and extending  ..."
Doctors satisfied with Mandela treatment ," http://english.people.com.cn
/90777/8064955.html ",,2012-12-20 09:31:23 UTC,"CAPE TOWN, Dec. 18 (Xinhua) -- South African President Jacob Zuma said on Tuesday that doctors are satisfied with the progress former president Nelson Madela is making duiring his treatment.
 
 ""They (doctors) say there is no crisis, but add that they are in no hurry to send him home just yet until they are satisfied that he has made sufficient progress,"" Zuma said.
 
 Mandela has been hospitalized since Dec. 8 for a lung infection and gallstones. He underwent a successful surgery to have the ga ..."
Thai police seizes 1.3 million meth pills in Chumphon ," http://english.people.com.cn
/90777/8064767.html ",,2012-12-20 09:10:01 UTC,"
 
 &$<b>Related Reading:</b>&$
 
 &$<a href='http://english.people.com.cn/90777/8064700.html' target='_blank'><b><font color='#0000ff'>Thai police seizes 1.3 million meth pills</font></b></a>&$
 
 &$<a href='http://english.people.com.cn/90777/8064700.html' target='_blank'><b><b>BANGKOK, Dec. 19 (Xinhua) -- Thai Highway Police on Wednesday intercepted a shipment of 1.3 million methamphetamine pills hidden in a pickup truck carrying vegetables in southern province of Chumphon, Thai News Agency re ..."
Thai police seizes 1.3 million meth pills," http://english.people.com.cn
/90777/8064700.html ",,2012-12-20 08:48:39 UTC,"BANGKOK, Dec. 19 (Xinhua) -- Thai Highway Police on Wednesday intercepted a shipment of 1.3 million methamphetamine pills hidden in a pickup truck carrying vegetables in southern province of Chumphon, Thai News Agency reported.
 
 Chunmporn-based Highway Police set up checkpoints to prevent crime and illegal smuggling before Christmas and New Year's Festival and found suspicious pickup truck on Phetkasem Road at Chumphon's Hat Krai sub-district.
 
 Police searched the vehicle carrying 12 baskets ..."
"Obama to veto Boehner's ""Plan B"": White House"," http://english.people.com.cn
/90777/8064627.html ",,2012-12-20 08:35:46 UTC,"WASHINGTON, Dec. 19 (Xinhua) -- U.S. President Barack Obama would veto the House Speaker John Boehner's ""Plan B"" proposal on "" fiscal cliff"", a combination of tax increases and spending cuts due on Jan. 1, 2013, the White House said Wednesday.
 
 ""This approach does not meet the test of balance, and the President would veto the legislation in the unlikely event of its passage,"" White House Communications Director Dan Pfeiffer said in a statement. ""The President urges the Republican leadership to ..."
"U.S. school shooting survivors, victims' families gather in Capitol Hill "," http://english.people.com.cn
/90777/8064579.html ",,2012-12-20 08:27:59 UTC,"&$
 <center><a href=""/cms/template/NewsView.jsp?id=8064579"" class=""abl2"">【1】 </a><a href=""/cms/template/NewsView.jsp?id=8064677"" class=""abl2"">【2】 </a><a href=""/cms/template/NewsView.jsp?id=8064678"" class=""abl2"">【3】 </a><a href=""/cms/template/NewsView.jsp?id=8064679"" class=""abl2"">【4】 </a><a href=""/cms/template/NewsView.jsp?id=8064680"" class=""abl2"">【5】 </a><a href=""/cms/template/NewsView.jsp?id=8064681"" class=""abl2"">【6】 </a></center>&$&$
 <center><table border=""0"" align ..."
Conservative Park Geun-hye elected first female president of S. Korea," http://english.people.com.cn
/90777/8064563.html ",,2012-12-20 08:28:00 UTC,"SEOUL, Dec. 19 (Xinhua) -- Park Geun-hye of South Korea's ruling Saenuri Party won the tightly contested presidential election held Wednesday, becoming the first woman to lead the country and extending the conservative rule for another five years.
 
 With 94.5 percent of the votes counted, Park, the 60-year-old daughter of South Korean dictator Park Chung-hee, won 51.7 percent of the vote, becoming the first one to garner more than half of all votes since democratic elections began in 1987.
 
 H ..."
Park Geun-hye certain to win S. Korean presidency: local media," http://english.people.com.cn
/90777/8064465.html ",,2012-12-20 08:09:32 UTC,"SEOUL, Dec. 19 (Xinhua) -- Park Geun-hye of South Korea's ruling Saenuri Party is poised to win the tightly contested presidential election Wednesday and become the first female leader of the country, local media reported.
 
 Park, the 60-year-old daughter of South Korean dictator Park Chung-hee, is sure to beat her liberal rival, Moon Jae-in of the main opposition Democratic United Party, according to broadcasters KBS and SBS.
 
 With a little less than 36.1 percent of the votes counted as of 9 ..."
'Jump' to 2013!," http://english.people.com.cn
/90777/8064453.html ",,2012-12-20 08:09:22 UTC,"Edited and translated by Wang Xin, People's Daily Online
 
 The famous photography collection ""Philippe Halsman's Jump Book"" by Philippe Halsman records a group picture of 'Jumping moment'. He believes ""In each jump, the body instantaneous springs energy against the gravitation, and people unable to control face expression and muscles. So at this moment, mask taken off and real discovered"".
 
 Jump is a born ability of human; the moment of jumping, everything is vanished, people turning into a s ..."
The last minutes of S.Korean presidential election: She or He? ," http://english.people.com.cn
/90777/8064174.html ",,2012-12-19 15:26:17 UTC,"Moon Jae-in, South Korean presidential candidate of the Democratic United Party and Park Geun-Hye, presidential candidate of conservative and right wing ruling Saenuri Party participated in the final round of presidential television debate in Seoul, South Korea on Dec. 16, 2012. The debate focused on topics about society, education, science, culture, femininity and other fields. The presidential election will take place on Dec. 19.&$
 <center><a href=""/cms/template/NewsView.jsp?id=8064174"" cla ..."
