title,url,author,date,summary
‘We want our jobs!’ Thousands march against Italian labor reforms (VIDEO),http://rt.com/news/214043-italy-mass-general-strike/,RT,2014-12-12 21:22:05 UTC,"<img src=""http://cdn.rt.com/files/news/34/41/b0/00/italy-mass-general-strike.ec.jpg"" align=""left"" style=""margin-right: 10px;"" />Some 40,000 protesters took to the streets of Rome on Friday, as Italy was gripped by protests against Prime Minister Matteo Renzi's reforms. Demonstrations turned violent in Milan and Turin as protesters clashed with police.<br/><a href=""http://rt.com/news/214043-italy-mass-general-strike/"">Read Full Article at RT.com</a>"
"Big break: Russians search for cat who sneaked $1,000 feast at seafood shop",http://rt.com/news/213931-seafood-russian-cat-missing/,RT,2014-12-12 21:01:16 UTC,"<img src=""http://cdn.rt.com/files/news/34/3a/b0/00/cat.ec.jpg"" align=""left"" style=""margin-right: 10px;"" />A ginger tomcat who broke into a closed shop at Vladivostok international airport and treated himself to seafood worth over $1,000 has gone missing. The fishy story has sparked a media frenzy – both in Russia and beyond.<br/><a href=""http://rt.com/news/213931-seafood-russian-cat-missing/"">Read Full Article at RT.com</a>"
Six released Guantanamo detainees ‘happy to be’ in Uruguay,http://rt.com/news/214039-guantanamo-refugees-happy-uruguay/,RT,2014-12-12 20:25:52 UTC,"<img src=""http://cdn.rt.com/files/news/34/41/70/00/guantanamo-refugees-happy-uruguay.ec.jpg"" align=""left"" style=""margin-right: 10px;"" />Six former US detainees, who have never been charged, are beginning their new life as refugees in Uruguay. They arrived on Sunday and have given their first comments to the press to say they are happy to be there.<br/><a href=""http://rt.com/news/214039-guantanamo-refugees-happy-uruguay/"">Read Full Article at RT.com</a>"
Redeployment of nukes to Europe won’t increase US security – Moscow,http://rt.com/news/214011-russia-us-nuclear-europe/,RT,2014-12-12 20:13:46 UTC,"<img src=""http://cdn.rt.com/files/news/34/3f/b0/00/russia-us-nuclear-europe.ec.jpg"" align=""left"" style=""margin-right: 10px;"" />The possible redeployment of nuclear cruise missiles to Europe and other military steps mentioned by a US official over Russia's alleged violation of a crucial arms control treaty won't add to US security, but will increase tension, Moscow said.<br/><a href=""http://rt.com/news/214011-russia-us-nuclear-europe/"">Read Full Article at RT.com</a>"
Ebola stymies Xmas: Sierra Leone bans festive celebrations,http://rt.com/news/214023-africa-ebola-christmas-banned/,RT,2014-12-12 19:42:35 UTC,"<img src=""http://cdn.rt.com/files/news/34/40/70/00/e-1.ec.jpg"" align=""left"" style=""margin-right: 10px;"" />Sierra Leone has banned any public celebrations of Christmas and the New Year over the spread of the Ebola virus that has affected thousands of the population. The military will strictly monitor the ban.<br/><a href=""http://rt.com/news/214023-africa-ebola-christmas-banned/"">Read Full Article at RT.com</a>"
"Snowden, nein! High court foils opposition attempt to bring whistleblower to Berlin",http://rt.com/news/213999-court-denies-snowden-germany/,RT,2014-12-12 18:45:41 UTC,"<img src=""http://cdn.rt.com/files/news/34/3e/f0/00/snowden.ec.jpg"" align=""left"" style=""margin-right: 10px;"" />A German court has rejected a bid by opposition parties to bring ex-NSA contractor Edward Snowden to Berlin to testify about the US agency’s intelligence activities in Germany before a parliamentary committee.<br/><a href=""http://rt.com/news/213999-court-denies-snowden-germany/"">Read Full Article at RT.com</a>"
"Dozens of graves, mostly Russian and Serbian, damaged by vandals in Sydney (VIDEO)",http://rt.com/news/213911-russian-graves-desecrated-australia/,RT,2014-12-12 18:08:28 UTC,"<img src=""http://cdn.rt.com/files/news/34/39/70/00/cross_1_.ec.jpg"" align=""left"" style=""margin-right: 10px;"" />At least 76 graves, mostly Russian and Serbian, have been damaged by vandals in a Sydney cemetery. The incident, already condemned by Moscow, happened a day before Ukrainian President Petro Poroshenko’s official visit to Australia.<br/><a href=""http://rt.com/news/213911-russian-graves-desecrated-australia/"">Read Full Article at RT.com</a>"
US destroying foundation of cooperation: Moscow slams ‘anti-Russian’ Ukraine bill,http://rt.com/news/214019-russia-congress-ukraine-bill/,RT,2014-12-12 17:59:07 UTC,"<img src=""http://cdn.rt.com/files/news/34/40/30/00/russia-congress-ukraine-bill.ec.jpg"" align=""left"" style=""margin-right: 10px;"" />Russia’s Foreign Ministry has decried the US Senate-backed Ukrainian support bill as “anti-Russian” in a statement released on Friday evening. It says that Washington is seeking to “destroy cooperation” between the two nations.<br/><a href=""http://rt.com/news/214019-russia-congress-ukraine-bill/"">Read Full Article at RT.com</a>"
Russia targeted by another large-scale cyber espionage campaign – Kaspersky Lab,http://rt.com/news/213967-kaspersky-cyber-attack-russia/,RT,2014-12-12 17:47:42 UTC,"<img src=""http://cdn.rt.com/files/news/34/3c/f0/00/kaspersky-cyber-attack-russia.ec.jpg"" align=""left"" style=""margin-right: 10px;"" />Russian companies in oil, finance, military, and other sectors – as well as the country’s embassies abroad – have become the primary targets of a new espionage campaign, labeled ‘Cloud Atlas’ by global information security powerhouse Kaspersky Lab.<br/><a href=""http://rt.com/news/213967-kaspersky-cyber-attack-russia/"">Read Full Article at RT.com</a>"
Euthanasia one step closer? France to debate draft law,http://rt.com/news/213955-euthanasia-france-law-hollande/,RT,2014-12-12 17:34:32 UTC,"<img src=""http://cdn.rt.com/files/news/34/3c/30/00/euthanasia-france-law-hollande.ec.jpg"" align=""left"" style=""margin-right: 10px;"" />The French parliament is set to debate draft legislation allowing doctors to keep terminally ill patients sedated until death. The bill is supported by President Francois Hollande, who included the controversial euthanasia issue on his election agenda.<br/><a href=""http://rt.com/news/213955-euthanasia-france-law-hollande/"">Read Full Article at RT.com</a>"
Spain passes strict anti-protest law,http://rt.com/news/213995-spain-anti-protest-law/,RT,2014-12-12 17:33:41 UTC,"<img src=""http://cdn.rt.com/files/news/34/3e/b0/00/spain-anti-protest-law.ec.jpg"" align=""left"" style=""margin-right: 10px;"" />Spain has narrowly voted in an anti-protest law, which the government argues will ensure public security but opponents say will restrict civil liberties.<br/><a href=""http://rt.com/news/213995-spain-anti-protest-law/"">Read Full Article at RT.com</a>"
