title,url,author,date,summary
French MPs propose law to ease end-of-life suffering,http://timesofindia.indiatimes.com/world/europe/French-MPs-propose-law-to-ease-end-of-life-suffering/articleshow/45496105.cms,,2014-12-12 14:28:24 UTC,"French lawmakers unveiled proposals Friday for a bill that would allow doctors to plunge terminally-ill patients into a deep sleep until they die, reviving the deeply divisive end-of-life debate.<img width='1' height='1' src='http://timesofindia.feedsportal.com/c/33039/f/533917/s/41621dec/sc/1/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/215951249101/u/0/f/533917/c/33039/s/41621dec/sc/1/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/215951249101/u/0/f/533917/c/33039/s/41621dec/sc/1/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/215951249101/u/0/f/533917/c/33039/s/41621dec/sc/1/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/215951249101/u/0/f/533917/c/33039/s/41621dec/sc/1/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/215951249101/u/0/f/533917/c/33039/s/41621dec/sc/1/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/215951249101/u/0/f/533917/c/33039/s/41621dec/sc/1/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/215951249101/u/0/f/533917/c/33039/s/41621dec/sc/1/a2.htm""><img src=""http://da.feedsportal.com/r/215951249101/u/0/f/533917/c/33039/s/41621dec/sc/1/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/215951249101/u/0/f/533917/c/33039/s/41621dec/sc/1/a2t.img"" border=""0""/>"
CIA revelations put UK spies under scrutiny,http://timesofindia.indiatimes.com/world/uk/CIA-revelations-put-UK-spies-under-scrutiny/articleshow/45495991.cms,,2014-12-12 14:19:51 UTC,"British spy agencies are under growing pressure to reveal how closely they worked with their US counterparts following 9/11 after a damning US Senate report exposed how the CIA tortured terror suspects.<img width='1' height='1' src='http://timesofindia.feedsportal.com/c/33039/f/533917/s/41621de2/sc/1/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/215951249099/u/0/f/533917/c/33039/s/41621de2/sc/1/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/215951249099/u/0/f/533917/c/33039/s/41621de2/sc/1/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/215951249099/u/0/f/533917/c/33039/s/41621de2/sc/1/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/215951249099/u/0/f/533917/c/33039/s/41621de2/sc/1/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/215951249099/u/0/f/533917/c/33039/s/41621de2/sc/1/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/215951249099/u/0/f/533917/c/33039/s/41621de2/sc/1/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/215951249099/u/0/f/533917/c/33039/s/41621de2/sc/1/a2.htm""><img src=""http://da.feedsportal.com/r/215951249099/u/0/f/533917/c/33039/s/41621de2/sc/1/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/215951249099/u/0/f/533917/c/33039/s/41621de2/sc/1/a2t.img"" border=""0""/>"
Korean Air CEO apologizes for daughter's 'foolish act',http://timesofindia.indiatimes.com/world/rest-of-world/Korean-Air-CEO-apologizes-for-daughters-foolish-act/articleshow/45490202.cms,,2014-12-12 05:56:38 UTC,"Korean Air CEO Cho Yang-Ho publicly apologized on Friday after his daughter triggered public anger and ridicule by kicking the head of cabin crew off a flight because of the way she had been served some nuts.<img width='1' height='1' src='http://timesofindia.feedsportal.com/c/33039/f/533917/s/415e4a14/sc/8/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/215951239936/u/0/f/533917/c/33039/s/415e4a14/sc/8/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/215951239936/u/0/f/533917/c/33039/s/415e4a14/sc/8/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/215951239936/u/0/f/533917/c/33039/s/415e4a14/sc/8/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/215951239936/u/0/f/533917/c/33039/s/415e4a14/sc/8/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/215951239936/u/0/f/533917/c/33039/s/415e4a14/sc/8/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/215951239936/u/0/f/533917/c/33039/s/415e4a14/sc/8/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/215951239936/u/0/f/533917/c/33039/s/415e4a14/sc/8/a2.htm""><img src=""http://da.feedsportal.com/r/215951239936/u/0/f/533917/c/33039/s/415e4a14/sc/8/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/215951239936/u/0/f/533917/c/33039/s/415e4a14/sc/8/a2t.img"" border=""0""/>"
Australian photographer image sold for record $6.5 m,http://timesofindia.indiatimes.com/world/rest-of-world/Australian-photographer-image-sold-for-record-6-5-million/articleshow/45490084.cms,,2014-12-12 05:48:43 UTC,"Australian photographer Peter Lik's picture titled Phantom has been sold for 6.5 million dollars setting a new world record.<img width='1' height='1' src='http://timesofindia.feedsportal.com/c/33039/f/533917/s/415e4a17/sc/38/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/215951239934/u/0/f/533917/c/33039/s/415e4a17/sc/38/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/215951239934/u/0/f/533917/c/33039/s/415e4a17/sc/38/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/215951239934/u/0/f/533917/c/33039/s/415e4a17/sc/38/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/215951239934/u/0/f/533917/c/33039/s/415e4a17/sc/38/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/215951239934/u/0/f/533917/c/33039/s/415e4a17/sc/38/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/215951239934/u/0/f/533917/c/33039/s/415e4a17/sc/38/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/215951239934/u/0/f/533917/c/33039/s/415e4a17/sc/38/a2.htm""><img src=""http://da.feedsportal.com/r/215951239934/u/0/f/533917/c/33039/s/415e4a17/sc/38/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/215951239934/u/0/f/533917/c/33039/s/415e4a17/sc/38/a2t.img"" border=""0""/>"
CIA chief challenges Senate torture report,http://timesofindia.indiatimes.com/world/us/CIA-chief-challenges-Senate-torture-report/articleshow/45488095.cms,,2014-12-12 03:09:33 UTC,"CIA director John Brennan threaded a rhetorical needle in an unprecedented televised news conference at CIA headquarters on Thursday, acknowledging that agency officers did ""abhorrent"" things to detainees but defending the overall post-9/11 interrogation program for stopping attacks and saving lives.<img width='1' height='1' src='http://timesofindia.feedsportal.com/c/33039/f/533917/s/415d4311/sc/1/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/215951236133/u/0/f/533917/c/33039/s/415d4311/sc/1/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/215951236133/u/0/f/533917/c/33039/s/415d4311/sc/1/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/215951236133/u/0/f/533917/c/33039/s/415d4311/sc/1/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/215951236133/u/0/f/533917/c/33039/s/415d4311/sc/1/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/215951236133/u/0/f/533917/c/33039/s/415d4311/sc/1/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/215951236133/u/0/f/533917/c/33039/s/415d4311/sc/1/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/215951236133/u/0/f/533917/c/33039/s/415d4311/sc/1/a2.htm""><img src=""http://da.feedsportal.com/r/215951236133/u/0/f/533917/c/33039/s/415d4311/sc/1/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/215951236133/u/0/f/533917/c/33039/s/415d4311/sc/1/a2t.img"" border=""0""/>"
'We'll be back': Hong Kong protesters vow,http://timesofindia.indiatimes.com/world/china/Well-be-back-Hong-Kong-protesters-chant-as-camp-site-dismantled/articleshow/45488094.cms,,2014-12-12 03:09:32 UTC,"Most activists chose to leave the Admiralty site, next to the Central business area, peacefully, despite their demands for a free vote not being met. But the overall mood remained defiant.<img width='1' height='1' src='http://timesofindia.feedsportal.com/c/33039/f/533917/s/415d430e/sc/7/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/215951236132/u/0/f/533917/c/33039/s/415d430e/sc/7/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/215951236132/u/0/f/533917/c/33039/s/415d430e/sc/7/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/215951236132/u/0/f/533917/c/33039/s/415d430e/sc/7/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/215951236132/u/0/f/533917/c/33039/s/415d430e/sc/7/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/215951236132/u/0/f/533917/c/33039/s/415d430e/sc/7/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/215951236132/u/0/f/533917/c/33039/s/415d430e/sc/7/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/215951236132/u/0/f/533917/c/33039/s/415d430e/sc/7/a2.htm""><img src=""http://da.feedsportal.com/r/215951236132/u/0/f/533917/c/33039/s/415d430e/sc/7/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/215951236132/u/0/f/533917/c/33039/s/415d430e/sc/7/a2t.img"" border=""0""/>"
"Major storm knocks out power, disrupts flights in California",http://timesofindia.indiatimes.com/world/us/Major-storm-knocks-out-power-disrupts-flights-in-California/articleshow/45488030.cms,,2014-12-12 03:03:45 UTC,"A major storm pummeled California and the Pacific northwest on Thursday with heavy rain and high winds, killing one man, knocking out power to tens of thousands of homes, disrupting flights and prompting schools to close.<img width='1' height='1' src='http://timesofindia.feedsportal.com/c/33039/f/533917/s/415d4313/sc/31/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/215951236131/u/0/f/533917/c/33039/s/415d4313/sc/31/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/215951236131/u/0/f/533917/c/33039/s/415d4313/sc/31/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/215951236131/u/0/f/533917/c/33039/s/415d4313/sc/31/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/215951236131/u/0/f/533917/c/33039/s/415d4313/sc/31/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/215951236131/u/0/f/533917/c/33039/s/415d4313/sc/31/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/215951236131/u/0/f/533917/c/33039/s/415d4313/sc/31/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/215951236131/u/0/f/533917/c/33039/s/415d4313/sc/31/a2.htm""><img src=""http://da.feedsportal.com/r/215951236131/u/0/f/533917/c/33039/s/415d4313/sc/31/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/215951236131/u/0/f/533917/c/33039/s/415d4313/sc/31/a2t.img"" border=""0""/>"
US House passes $1.1 trillion government funding bill,http://timesofindia.indiatimes.com/world/us/US-House-passes-1-1-trillion-government-funding-bill/articleshow/45488007.cms,,2014-12-12 03:01:22 UTC,"The US House of Representatives passed a $1.1 trillion spending bill late on Thursday to fund most federal agencies through September 30, the end of the current fiscal year.<img width='1' height='1' src='http://timesofindia.feedsportal.com/c/33039/f/533917/s/415d4318/sc/1/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/215951236130/u/0/f/533917/c/33039/s/415d4318/sc/1/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/215951236130/u/0/f/533917/c/33039/s/415d4318/sc/1/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/215951236130/u/0/f/533917/c/33039/s/415d4318/sc/1/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/215951236130/u/0/f/533917/c/33039/s/415d4318/sc/1/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/215951236130/u/0/f/533917/c/33039/s/415d4318/sc/1/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/215951236130/u/0/f/533917/c/33039/s/415d4318/sc/1/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/215951236130/u/0/f/533917/c/33039/s/415d4318/sc/1/a2.htm""><img src=""http://da.feedsportal.com/r/215951236130/u/0/f/533917/c/33039/s/415d4318/sc/1/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/215951236130/u/0/f/533917/c/33039/s/415d4318/sc/1/a2t.img"" border=""0""/>"
Ebola vaccine trial halted for checks after joint pains,http://timesofindia.indiatimes.com/world/europe/Ebola-vaccine-trial-halted-for-checks-after-joint-pains/articleshow/45482976.cms,,2014-12-11 19:06:39 UTC,"A clinical trial of an Ebola vaccine developed by Merck and NewLink has been halted temporarily as a precautionary measure after four patients complained of joint pains, the University of Geneva Hospital said on Thursday.<img width='1' height='1' src='http://timesofindia.feedsportal.com/c/33039/f/533917/s/415a2566/sc/11/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/214612661112/u/0/f/533917/c/33039/s/415a2566/sc/11/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/214612661112/u/0/f/533917/c/33039/s/415a2566/sc/11/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/214612661112/u/0/f/533917/c/33039/s/415a2566/sc/11/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/214612661112/u/0/f/533917/c/33039/s/415a2566/sc/11/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/214612661112/u/0/f/533917/c/33039/s/415a2566/sc/11/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/214612661112/u/0/f/533917/c/33039/s/415a2566/sc/11/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/214612661112/u/0/f/533917/c/33039/s/415a2566/sc/11/a2.htm""><img src=""http://da.feedsportal.com/r/214612661112/u/0/f/533917/c/33039/s/415a2566/sc/11/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/214612661112/u/0/f/533917/c/33039/s/415a2566/sc/11/a2t.img"" border=""0""/>"
"Bush knew about CIA torture, says Cheney",http://timesofindia.indiatimes.com/world/us/Bush-knew-about-CIA-torture-says-Cheney/articleshow/45482854.cms,,2014-12-11 18:58:09 UTC,"President George W Bush was fully aware of and an “integral part” of the CIA's torture of terror suspects, his vice-president Dick Cheney said Wednesday.<img width='1' height='1' src='http://timesofindia.feedsportal.com/c/33039/f/533917/s/415a2563/sc/7/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/214612661111/u/0/f/533917/c/33039/s/415a2563/sc/7/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/214612661111/u/0/f/533917/c/33039/s/415a2563/sc/7/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/214612661111/u/0/f/533917/c/33039/s/415a2563/sc/7/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/214612661111/u/0/f/533917/c/33039/s/415a2563/sc/7/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/214612661111/u/0/f/533917/c/33039/s/415a2563/sc/7/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/214612661111/u/0/f/533917/c/33039/s/415a2563/sc/7/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/214612661111/u/0/f/533917/c/33039/s/415a2563/sc/7/a2.htm""><img src=""http://da.feedsportal.com/r/214612661111/u/0/f/533917/c/33039/s/415a2563/sc/7/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/214612661111/u/0/f/533917/c/33039/s/415a2563/sc/7/a2t.img"" border=""0""/>"
